									
article	"-LRB- CNN -RRB- Donald Sterling 's racist remarks cost him an NBA team last year . But now it 's his former female companion who has lost big . A Los Angeles judge has ordered V. Stiviano to pay back more than $ 2.6 million in gifts after Sterling 's wife sued her . In the lawsuit , Rochelle `` Shelly '' Sterling accused Stiviano of targeting extremely wealthy older men . She claimed Donald Sterling used the couple 's money to buy Stiviano a Ferrari , two Bentleys and a Range Rover , and that he helped her get a $ 1.8 million duplex . Who is V. Stiviano ? Stiviano countered that there was nothing wrong with Donald Sterling giving her gifts and that she never took advantage of the former Los Angeles Clippers owner , who made much of his fortune in real estate . Shelly Sterling was thrilled with the court decision Tuesday , her lawyer told CNN affiliate KABC . `` This is a victory for the Sterling family in recovering the $ 2,630,000 that Donald lavished on a conniving mistress , '' attorney Pierce O'Donnell said in a statement . `` It also sets a precedent that the injured spouse can recover damages from the recipient of these ill-begotten gifts . '' Stiviano 's gifts from Donald Sterling did n't just include uber-expensive items like luxury cars . According to the Los Angeles Times , the list also includes a $ 391 Easter bunny costume , a $ 299 two-speed blender and a $ 12 lace thong . Donald Sterling 's downfall came after an audio recording surfaced of the octogenarian arguing with Stiviano . In the tape , Sterling chastises Stiviano for posting pictures on social media of her posing with African-Americans , including basketball legend Magic Johnson . `` In your lousy f ** ing Instagrams , you do n't have to have yourself with -- walking with black people , '' Sterling said in the audio first posted by TMZ . He also tells Stiviano not to bring Johnson to Clippers games and not to post photos with the Hall of Famer so Sterling 's friends can see . `` Admire him , bring him here , feed him , f**k him , but do n't put -LRB- Magic -RRB- on an Instagram for the world to have to see so they have to call me , '' Sterling said . NBA Commissioner Adam Silver banned Sterling from the league , fined him $ 2.5 million and pushed through a charge to terminate all of his ownership rights in the franchise . Fact check : Donald Sterling 's claims vs. reality . CNN 's Dottie Evans contributed to this report ."								
gold	"V. Stiviano must pay back $ 2.6 million in gifts from Donald Sterling . Sterling 's wife claimed the ex-Clippers used the couple 's money for the gifts . The items included a Ferrari , two Bentleys and a Range Rover ."								
generated	sterling has ordered v. stiviano to pay back $2.6 m in gifts after his wife sued.					sterling has ordered			
									
article	"-LRB- CNN -RRB- HBO just whetted our appetite for a new season of `` True Detective . '' The network released a teaser video for season 2 of the critically acclaimed show , and it looks intense . Colin Farrell , Vince Vaughn , Rachel McAdams and Taylor Kitsch star in the new season , which premieres June 21 . Here 's the plot synopsis , according to Den of Geek : . `` A bizarre murder brings together three law-enforcement officers and a career criminal , each of whom must navigate a web of conspiracy and betrayal in the scorched landscapes of California . Colin Farrell is Ray Velcoro , a compromised detective in the all-industrial City of Vinci , LA County . Vince Vaughn plays Frank Semyon , a criminal and entrepreneur in danger of losing his life 's work , while his wife and closest ally -LRB- Kelly Reilly -RRB- , struggles with his choices and her own . Rachel McAdams is Ani Bezzerides , a Ventura County Sheriff 's detective often at odds with the system she serves , while Taylor Kitsch plays Paul Woodrugh , a war veteran and motorcycle cop for the California Highway Patrol who discovers a crime scene which triggers an investigation involving three law enforcement groups , multiple criminal collusions , and billions of dollars . '' Yes , please . The first season starred Matthew McConaughey and Woody Harrelson as a pair of Louisiana State Police detectives investigating the death of a young woman . The crime drama proved to be a runaway hit , and the season 1 finale crashed the HBO Go site in March 2014 ."								
gold	"HBO released a teaser video for the new season , starting June 21 . The series stars Colin Farrell and Vince Vaughn ."								
generated	the network released a teaser video for season 2 of the plot synopsis.						of the plot synopsis		
									
article	"-LRB- CNN -RRB- Caught up in a rip current while snorkeling at Finn 's Beach in Bali , Roxy Walsh was holding on to some rocks when she spotted something special . Engraved with the words , `` Darling Joe , Happy 70th Birthday 2009 . Love Jenny , '' the antique ring lodged in the rocks clearly meant something to both Joe and Jenny . But there were no other clues -LRB- besides the fact that the words were written in English -RRB- as to where the couple might live . When she returned home to Palm Beach , Australia , Walsh was determined to reunite the ring with its owner . She went to the 5,000 members of her company 's Facebook page , Kids in Adelaide , to reunite Joe and Jenny with the ring . She also created a `` Find Joe and Jenny '' page to track them down . `` Hi all . It 's Roxy here . This is a reaaaallyy long shot but would love some SHARE love on this post to help find Joe . Found this gold ring snorkeling at Finns Beach in Bali today . It 's got a family crest on it , and engraved with the message ` Darling Joe , Happy 70th Birthday 2009 . Love Jenny ' How amazing would it be to find him ! Please click share . '' The post got shared all over the world . Nine months earlier , Joe Langley had been snorkeling in the same spot in Bali when he lost the ring , which his wife , Jenny , had purchased an antique store and had engraved for his birthday . `` I went for a swim , got caught in a rip , decided the rip was going to take me and finished up on the rocks , '' Langley told Sunshine Coast Daily . `` In clawing my way over the rocks , the ring pulled off my finger . '' The Langleys ' 19-year-old granddaughter saw the Facebook post April 9 and made the connection . It turns out that the Langleys are fellow Australians , living in the town of Noosa , just three hours from where Walsh lives in Palm Beach . Walsh had the ring professionally cleaned before she met the happy Langleys in Noosa to return it ."								
gold	An Australian woman finds a ring while snorkeling in Bali . Words engraved on the antique ring give clues to its owner 's identity .								
generated	roxy walsh was found in finn's beach in bali.					Roxy Walsh was found			
									
article	"-LRB- CNN -RRB- The classic video game `` Space Invaders '' was developed in Japan back in the late 1970 's -- and now their real-life counterparts are the topic of an earnest political discussion in Japan 's corridors of power . Luckily , Japanese can sleep soundly in their beds tonight as the government 's top military official earnestly revealed that the country 's Air Self Defense Force -LRB- ASDF -RRB- had never encountered an extraterrestrial unidentified flying object . Responding to a query from flamboyant former wrestler-turned-lawmaker Antonio Inoki , Defense Minister Gen Nakatani told the Diet , Japan 's parliament , that his jets had , to date , never come across any UFOs from outer space . `` When the Air Self Defense Force detects indications of an unidentified flying object that could violate our country 's airspace , it scrambles fighter jets if necessary and makes visual observation , '' Nakatani said . He continued : `` They sometimes find birds or flying objects other than aircraft but I do n't know of a case of finding an unidentified flying object believed to have come over from anywhere other than Earth . '' Inoki has appeared in the U.S.-based WWE -- which describes him as `` among the most respected men in sports-entertainment '' -- and is the founder of the New Japan Pro Wrestling organization . He entered Japan 's Upper House for a second stint in politics in 2013 . He also famously fought Muhammad Ali in 1976 , in one of the first-ever mixed-discipline matches , which would later pave the way for today 's wildly popular Mixed Martial Arts contests . Before his return to politics he was a regular fixture on Japanese TV variety shows and has promoted a slew of products , from hot sauce to banks . The maverick politician also traveled to Iraq in 1990 to try to secure the release of Japanese hostages , and has more recently attempted to replicate former NBA star Dennis Rodman 's `` basketball diplomacy '' by staging a wrestling tournament in North Korea . He reportedly converted to Islam in the 1990s , although he says he practices both Islam and Buddhism . The lawmaker , who is universally known in Japan for his colossal chin and once-ever-present red scarf -- these days often replaced with a red necktie -- as much as for his political achievements , had asked a Upper House Budget Committee meeting if aircraft were ever scrambled to meet extraterrestrial threats , and if research was being done into alien visitors , prompting Nakatani 's response . Inoki also claims to have seen a UFO with his own eyes , but admitted that he did n't know personally if aliens existed . The exchange was n't the first time Japanese politicians have discussed the implications of visitors from another planet . In 2007 then-Defense Minister Shigeru Ishiba pondered the legal ramifications , under Japan 's pacifist constitution , of a defense against an invasion from outer space . READ MORE : Japan unveils Izumo , its largest warship since World War II ."								
gold	Japan 's top military official earnestly revealed that the country 's Self Defense Force -LRB- SDF -RRB- had never encountered a UFO . Celebrity politician and former wrestler Antonio Inoki had posed a question concerning extraterrestrials to a government committee .						latest in the u.s.-based wwe		
generated	the classic video game is the latest in the u.s.-based wwe.								
									
article	"-LRB- CNN -RRB- `` A long , long , time ago ... '' Those five words , when uttered or sung , makes baby boomers immediately think of Don McLean 's pop masterpiece `` American Pie . '' It 's hard to believe that his phenomenal 8 1/2 minute allegory , which millions of Americans know by heart , is 44 years old . All sorts of historical cross-currents play off each other in this timeless song , brilliantly gilded with the unforgettable chorus , which starts as `` Bye , Bye , Miss American Pie . '' There is no real way to categorize McLean 's `` American Pie '' for its hybrid of modern poetry and folk ballad , beer-hall chant and high-art rock . On Tuesday , Christie 's sold the 16-page handwritten manuscript of the song 's lyrics for $ 1.2 million to an unnamed buyer . McLean was a paperboy when , on February 3 , 1959 , he saw that Buddy Holly , Ritchie Valens and J.P. `` The Big Bopper '' Richardson had been tragically killed in an airplane crash in Clear Lake , Iowa . `` The next day I went to school in shock and guess what ? '' McLean recalled . `` Nobody cared . Rock 'n' roll in those days was sort of like hula hoops and Buddy had n't had a big hit on the charts since ' 57 . '' By cathartically writing `` American Pie , '' McLean has guaranteed that the memory of those great musicians lives forever . Having recorded his first album , `` Tapestry , '' in 1969 , in Berkeley , California , during the student riots , McLean , a native New Yorker , became a kind of weather vane for what he called the `` generation lost in space . '' When his cultural anthem `` American Pie '' was released in November 1971 , it replaced Bob Dylan 's `` The Times They Are A Changin '' as the Peoples Almanac of the new decade . It 's important to think of `` American Pie '' as one would of Henry Longfellow 's `` Evangeline '' or Johnny Mercer 's `` Moon River '' -- an essential Americana poem emanating wistful recollection , blues valentine , and youthful protest rolled into one . There is magic brewing in the music and words of `` American Pie , '' for McLean 's lyrics and melody frame a cosmic dream , like those Jack Kerouac tried to conjure in his poetry-infused novel `` On the Road . '' Don McLean : Buddy Holly , rest in peace . Influenced by Pete Seeger and the Weavers , McLean proudly wore the mantle of troubadour in the early 1970s , when `` American Pie '' topped the Billboard charts , and has never shed the cape . Wandering far and wide , singing `` American Pie '' at windblown dance halls in Wyoming and cloistered colleges in New England , at huge amphitheaters in California and little coffee houses in the Hudson River Valley , McLean has performed his global anthem thousands of times . Yet the encore number never loses its transfixing allure . When McLean prods audiences by rhapsodizing `` and they were singing '' everybody spontaneously joins in with the `` Bye , Bye '' chorus . Watching McLean deliver his most notable song in concert is to take part in a collective Happening . What makes `` American Pie '' so unusual is that it is n't a relic from the counterculture but a talisman , which , like a sacred river , keeps bringing joy to listeners everywhere . When `` American Pie '' suddenly is played on a jukebox or radio it 's almost impossible not to sing along . Like `` Danny Boy '' or `` Streets of Laredo '' or `` Shenandoah , '' it 's eternal . With illusions to football fields and rock 'n' roll , river levees and nursery rhymes , the song cascades along like a boat going down Niagara Falls or a roller coaster that jumps tracks but floats instead of crashes . After all these years , `` American Pie '' still makes me feel empowered and yet filled with a sense of loss . The song is alive and joyful , yet fretful about a world gone wrong . It is a song that will never die . A reverie for the ages . There is a jump to the chorus , which forces the mind to relive the '50s , '60s and '70s , to troll through the back pages of our lives while , like a traditional Irish folksong , it reminds us of fate . While McLean , the muse , has rightfully not tried to interpret `` American Pie , '' it 's fair to surmise that `` the king '' is Elvis Presley , `` Helter Skelter '' refers to the Charles Manson murders , the `` jester on the sidelines in a cast '' is Bob Dylan , and `` Jack Flash '' the Rolling Stones . But who knows ? The lyric remains a puzzle open to thousands of spirited interpretations . As a literary artifact of the early 1970s , there is n't anything to compare to `` American Pie . '' Normally , I do n't like rankings of literature or songs or even presidents , for that matter . But the fact that the Recording Industry of America and the National Endowment of the Arts chose `` American Pie '' as the fifth greatest song of the 20th century speaks to the composition 's importance as an enduring piece of pop art . The other four were `` Over the Rainbow '' -LRB- by Harold Arlen and E.Y `` Yip '' Harburg -RRB- , `` White Christmas '' -LRB- by Irving Berlin -RRB- , `` This Land is Your Land '' -LRB- by Woody Guthrie -RRB- and `` Respect '' -LRB- by Otis Redding -RRB- . That is fine company . Quite simply , `` American Pie '' is one of the greatest songs ever written . And Tuesday the original lyrics found a new home ."								
gold	"Manuscript of `` American Pie '' lyrics is sold to unnamed buyer for $ 1.2 million . Douglas Brinkley : The song , a talisman for its age , brings joy to people 44 years later ."								
generated	"""american pie"" is 44 years old."								
									
article	"Los Angeles -LRB- CNN -RRB- Former rap mogul Marion `` Suge '' Knight was ordered Thursday to stand trial for murder and other charges stemming from a deadly hit-and-run confrontation on the movie set of the biopic `` Straight Outta Compton '' earlier this year . In addition to that ruling , Judge Ronald Coen also lowered Knight 's bail to $ 10 million from $ 25 million , a figure that defense lawyers called excessive . The judge also dismissed one of the two counts of hit-and-run against Knight . In all , Knight will stand trial on one count of murder , one count of attempted murder and one count of hit-and-run , the judge ruled after holding a two-day preliminary hearing this week that ended Thursday . Knight , 49 , faces up to life in prison if convicted . Knight suffers diabetes and blot clots , and the case has clearly strained him : He collapsed in court last month after learning of the $ 25 million bail and he was taken to the hospital for treatment . Knight was in court Thursday . At the end of hearing , he turned around and looked at his family in the gallery , and he smiled to his fiancee as deputies led him handcuffed out of the courtroom . In a press conference after the hearing , fiancee Toi Kelly said regarding Knight 's health that he is `` doing much better . '' The judge dismissed the other hit-and-run count because California law says no more than one charge of hit-and-run should be brought against a defendant when the same weapon , in this case the vehicle Knight was driving , is used against several people . Knight is accused of running over two men , killing one of them , during an argument . Killed was Terry Carter , 55 . The survivor is Cle Sloan , 51 , who in testimony this week declined to identify Knight as his attacker because Sloan does n't want to be a `` snitch '' who sends Knight to prison , according to CNN affiliates KABC and KTLA . Prosecutors offered Sloan immunity , but he still refused to testify against Knight on Monday , the affiliates reported . The deadly incident happened on January 29 , after a flare-up on the set of the biopic `` Straight Outta Compton , '' a film about the highly influential and controversial rap group N.W.A. . The alleged argument spilled over to the parking lot of Tam 's Burgers in Compton . At the time , Knight was out on bail in a separate robbery case . The hit-and-run was captured on videotape and allegedly shows Knight inside a red truck . In the video , the truck pulls into the entrance of the Compton restaurant , and he is then approached by Sloan , who was working security on the site . The two men appear to talk for a few moments , with Knight still in his vehicle . Suddenly , the vehicle backs up , knocking Sloan to the ground . While still in reverse , the truck moves out of range of the security camera . The vehicle is then seen zooming forward , back into camera range , running over Sloan a second time , and then running over a second man , Carter , a former rap music label owner . Carter later died . In closing arguments prior to the judge 's ruling , Knight 's attorney Matthew Fletcher argued that Knight was the victim . Knight was only defending himself against Sloan , whom the defense attorney accused of possessing a gun at the time . `` Mr. Sloan is the initial and consistent aggressor , '' Knight 's attorney argued . `` There 's no intent to kill , there 's an intent to survive . '' `` Even without a gun , we know Mr. Sloan was brave enough to attack in broad daylight , '' the defense attorney said . Fletcher added that Knight 's defense was to stand his ground . Sloan `` needed immunity because he was the actual aggressor , '' Fletcher said . `` He is the person who got Terry -LRB- Carter -RRB- killed . '' Los Angeles County Deputy District Attorney Cynthia Barnes argued , however , told the judge that Knight was engaged in `` mutual combat situation '' where he used his car as deadly weapon . If Knight `` ever had the right of self-defense , the moment he backed-up and Mr. Sloan was ran-over , he lost the right of self-defense , '' Barnes said . `` There was pre-mediation and intent when he -LRB- Knight -RRB- ran over him a second time . '' Knight is scheduled to be arraigned on April 30 . The incident is the latest run-in with the law for Knight , who founded the wildly successful Death Row Records in 1991 and signed artists such as Snoop Doggy Dogg -LRB- now known as Snoop Lion -RRB- and Tupac Shakur . Knight was driving the car in which Shakur was a passenger when the rapper was shot to death in Las Vegas in 1996 . Shortly afterward , Knight spent several years in prison for violating parole on assault and weapons convictions . That prison time -- along with Shakur 's death , feuds between Knight and a number of rappers , and desertions by Dr. Dre , Snoop and others -- contributed to the label 's bankruptcy in 2006 . In August , Knight and two other people were shot while inside a celebrity-filled Sunset Strip party hosted by singer Chris Brown on the eve of the MTV Video Music Awards ."								
gold	Former rap mogul Marion `` Suge '' Knight will be tried for murder in a videotaped hit-and-run . His bail is reduced to $ 10 million from $ 25 million . A judge dismisses one of four charges against Knight .								
generated	"he suffers from a deadly hit-and-run confrontation on the movie set of the biopic ""straight outta compton"" earlier this year."					suffers from (faces charges stemming from)			
									
article	"-LRB- CNN -RRB- The Palestinian Authority officially became the 123rd member of the International Criminal Court on Wednesday , a step that gives the court jurisdiction over alleged crimes in Palestinian territories . The formal accession was marked with a ceremony at The Hague , in the Netherlands , where the court is based . The Palestinians signed the ICC 's founding Rome Statute in January , when they also accepted its jurisdiction over alleged crimes committed `` in the occupied Palestinian territory , including East Jerusalem , since June 13 , 2014 . '' Later that month , the ICC opened a preliminary examination into the situation in Palestinian territories , paving the way for possible war crimes investigations against Israelis . As members of the court , Palestinians may be subject to counter-charges as well . Israel and the United States , neither of which is an ICC member , opposed the Palestinians ' efforts to join the body . But Palestinian Foreign Minister Riad al-Malki , speaking at Wednesday 's ceremony , said it was a move toward greater justice . `` As Palestine formally becomes a State Party to the Rome Statute today , the world is also a step closer to ending a long era of impunity and injustice , '' he said , according to an ICC news release . `` Indeed , today brings us closer to our shared goals of justice and peace . '' Judge Kuniko Ozaki , a vice president of the ICC , said acceding to the treaty was just the first step for the Palestinians . `` As the Rome Statute today enters into force for the State of Palestine , Palestine acquires all the rights as well as responsibilities that come with being a State Party to the Statute . These are substantive commitments , which can not be taken lightly , '' she said . Rights group Human Rights Watch welcomed the development . `` Governments seeking to penalize Palestine for joining the ICC should immediately end their pressure , and countries that support universal acceptance of the court 's treaty should speak out to welcome its membership , '' said Balkees Jarrah , international justice counsel for the group . `` What 's objectionable is the attempts to undermine international justice , not Palestine 's decision to join a treaty to which over 100 countries around the world are members . '' In January , when the preliminary ICC examination was opened , Israeli Prime Minister Benjamin Netanyahu described it as an outrage , saying the court was overstepping its boundaries . The United States also said it `` strongly '' disagreed with the court 's decision . `` As we have said repeatedly , we do not believe that Palestine is a state and therefore we do not believe that it is eligible to join the ICC , '' the State Department said in a statement . It urged the warring sides to resolve their differences through direct negotiations . `` We will continue to oppose actions against Israel at the ICC as counterproductive to the cause of peace , '' it said . But the ICC begs to differ with the definition of a state for its purposes and refers to the territories as `` Palestine . '' While a preliminary examination is not a formal investigation , it allows the court to review evidence and determine whether to investigate suspects on both sides . Prosecutor Fatou Bensouda said her office would `` conduct its analysis in full independence and impartiality . '' The war between Israel and Hamas militants in Gaza last summer left more than 2,000 people dead . The inquiry will include alleged war crimes committed since June . The International Criminal Court was set up in 2002 to prosecute genocide , crimes against humanity and war crimes . CNN 's Vasco Cotovio , Kareem Khadder and Faith Karimi contributed to this report ."								
gold	"Membership gives the ICC jurisdiction over alleged crimes committed in Palestinian territories since last June . Israel and the United States opposed the move , which could open the door to war crimes investigations against Israelis ."								
generated	the icc's founding rome statute was marked with a ceremony at the hague.					icc’s founding rome statute was marked			
									
article	"-LRB- CNN -RRB- After two days of deliberation , jurors found Dzhokhar Tsarnaev guilty on all counts in the Boston Marathon bombing . The verdict is n't surprising . What might be , however , is the answer to how we prevent this kind of violence from happening again . Because there could be other more young men just like him , which means the lessons we take from Boston will affect whether we can keep America and Americans safer . Today , nearly 1 out of 4 people in the world are Muslim . By 2050 , Pew reports , that will be some 1 out of 3 . By 2070 ? Well , I 'll quote the all-caps headline reprinted by the Drudge Report : `` Muslims to outnumber Christians ! '' Many Americans read such numbers and worry : Will this mean more Dzhokhar Tsarnaevs ? But that 's only if you believe Islam causes extremism , which many have argued . And that 's wrong , of course . On the other hand , there are people who claim Islam has nothing to do with terrorism . Which is true -- and false . Sure , the Islamic faith forbids murder , but there 's a small but significant minority of Muslims murdering people in terrible ways , and in Islam 's name . Understanding what leads young Muslims like Dzhokhar down a dangerous path requires we understand radicalization . At any given moment in the Middle East , we have little idea who 's going to attack whom next , who 's on whom 's side , how this is going to end , or what anyone 's even fighting over anymore . This bad news is going to turn worse before it gets better . But it will get better . To understand why , we have to take a stab at understanding what radicalizes Muslims . Contrary to common belief , Muslims are n't unusually predisposed to violence . Radical Islam , which has taken on an ugly life of its own , began at the intersection of politics , religion and religious identity . Islam is about what you believe , but it 's also about being part of a community . And what happens when you are a member of a community and you see it under attack ? Some Muslims who have turned to violence have done so with good intentions -LRB- the road to hell , after all -RRB- . Consider : The tragedy of modern Islam is in its endless sequence of tragedies . Before my time , the brutal Soviet invasion of Afghanistan horrified many Muslims . When I was in high school , Bosnia occupied all our attention . There was of course Russia 's brutal war on the Chechen people -- Dzhokhar shares his name with a recent Chechen patriot -- and Israel 's ongoing occupation of the Palestinian territories . And the blows against Muslims do n't end there . There was Serbia 's war on Kosovo , another war in Chechnya , the invasion of Iraq , oppression in Myanmar , civil strife in Syria , the colonization of East Turkestan , massacres of Muslims in the Central African Republic , wars on a besieged Gaza and West Bank still under Israeli rule . Imagine how this looks to a restless young Muslim . Countless places where co-religionists have been killed , and nobody seems to do anything about it . Nobody even wants to . Extremists have long offered crude reasons for why the violence was happening , and then moved quickly to a single , tempting , terrible response : Take up arms -- and kill . In her new book , `` Heretic : Why Islam Needs a Reformation Now '' , Ayaan Hirsi Ali argues that extremism is n't caused by political circumstances , but by Islam itself . Her conclusion is wrong . To fight extremism , we do n't need to reform Islam . We need to show young Muslims that extremism is doing the opposite of what it claimed to . Rather than help Muslims , it 's harming them . When I was a teenager , our Massachusetts mosque hosted a delegation from Bosnia that shared graphic , heartbreaking stories of rape , exile , and massacre inflicted on Muslims , all because of their faith . The mosque raised money , collected food , blankets , medicine . Promises were made to provide more , and regularly . But we all knew that was n't enough . As we left the mosque , my peers and I were disgruntled and confused . Shocked . Angry . Our teachers could 've told us : Go and fight . Defend your Muslim brothers and sisters who are under siege . Or they could 've told us to keep our heads down and make money and live comfortably . Neither answer would have satisfied . Fortunately for us , they offered us a third way . They showed us , patiently , how to work with others , how to compromise , how to get things done . A more engaged American Muslim community , they explained , could use its resources to help people suffering all around the world . They were right . We saw the dead-end road of radicalism from afar , but we also saw , up close , how communities that isolated themselves and turned inward found themselves powerless , ineffectual and ignored . Thanks to social media , a medium that the world 's burgeoning young Muslim population is increasingly comfortable with , more Muslims can and will see this , too . Radicalism will be done in by fellow Muslims who want to save their religion from this monster within it . It 's happening already . Our national conversation about Islam is focused on the wrong issues . Does Islam need a Reformation ? What in Islam causes violence ? We would do a lot better if we accepted that Muslims the world over have real grievances -- dictatorships , corruption , foreign intervention , religious illiteracy , lack of economic opportunity -- and radicals exploit these . We need to show the young Dzhokhars that , if they want to help , then violence is n't going to help . To fight extremism , we need to pose this question to young Muslims : `` Do you want to help your brothers and sisters in faith ? '' Because those who claim to be defending us are making things so much worse . Their narrative has failed . Their solution is bankrupt . The Caliph wears no clothes . It 's the reason why increasing numbers of Muslims reject extremism -- and not just because our numbers are increasing ."								
gold	"Haroon Moghul : Tsarnaev found guilty in terrorist bombing of Boston Marathon . How to prevent future such acts by young Muslims ? Pew reports by 2050 , one in 4 will be Muslim . Many equate terror with Islam . Not true , but we should grasp what causes radicalization . Moghul : Muslims see their community besieged around world , some think solution is violence . They must be shown other way to help ."								
generated	the tsarnaev says it's a 1 out of 4 people in a world.					the tsarnaev	people in a world		
									
article	"-LRB- CNN -RRB- President Barack Obama tied himself to the mast of a nuclear deal with Iran even before he became the Democratic candidate for president . Reaching a good , solid agreement with Iran is a worthy , desirable goal . But the process has unfolded under the destructive influence of political considerations , weakening America 's hand and strengthening Iran . Obama 's political standing and his historic legacy in foreign policy are so deeply intertwined with reaching an accord with Iran that if the deal ultimately collapses , he may fear that historians will conclude that his legacy in global affairs collapsed with it . There is a reason one gets the feeling that it is the United States and not Iran that is the more eager , even desperate , side in these talks , even though Iran is the country whose economy was sent into a deep chill by international sanctions ; the country whose only significant export , oil , lost more than half of its value in recent months . The reason is that Obama has a huge political stake in these negotiations . The President may insist that the United States will choose no deal over a bad deal , but few people truly believe he has a credible Plan B. Few believe it , particularly in the Middle East and notably among America 's Arab friends , who hold the view that Iran is running circles around the United States and outplayed Obama . As the writer David Rothkopf aptly put it , `` Iran is having a great Obama administration . '' That 's a belief that has already started shaking up the region . Saudi Arabia has said that it will pursue nuclear weapons if it believes Iran has not been stopped , and there is little doubt that other countries among Iran 's Muslim rivals will do the same . In fact , the notion that Obama is not handling the Iranian threat effectively is contributing to a new war in Yemen , where Saudi Arabia and other Arabs are trying to push back against gains by Iran 's allies . We can trace it all back to the Democratic primaries in 2007 , when then-Sen . Obama said he would meet Iran 's leaders `` without preconditions , '' leading his rival , Hillary Clinton , to call the idea `` Irresponsible and frankly naive . '' As the years of his presidency unfolded , and the Middle East started coming apart , finding a deal with Iran started to look like the one major foreign policy achievement Obama might leave behind . The political imperative started to intrude in strategic considerations on an issue that is of transcendent importance to world peace . The framework agreement announced on Thursday came two days after Obama 's March 31 deadline . The U.S.-imposed deadline served only to pressure the United States , and the French ambassador very publicly decried as a `` bad tactic . '' That bad tactic was a political move , a push to produce some sort of result , however vague , to protect the talks from critics . Again , a solid agreement that ensures Iran will not produce nuclear weapons would be a most welcome development . But the agreement so far does not look promising . It certainly shows the final outcome will differ greatly from what Obama had vowed . In a presidential debate in 2012 , Obama described a crystal clear goal for negotiations . `` The deal we 'll accept is they end their nuclear program . It 's very straightforward . '' Nobody is talking about Iran ending its nuclear program . Not even close . Iran will be allowed to keep one-third of its more than 6,000 centrifuges . That 's not a small symbolic number . And it does not appear as though any of its nuclear facilities will be dismantled , although Fordow will contain no nuclear materials . Iran has insisted all along that its nuclear program has only civilian uses . The fact is that Iran has a well-established record of lying and concealing the elements of its nuclear program to U.N. inspectors . And the U.N. agency chief says that has not stopped . A couple of weeks ago , with days left until the negotiating deadline , U.N. nuclear chief Yukiya Amano said Iran is still stonewalling . `` We are still not in a position to conclude that all nuclear material in Iran is -LSB- for a -RSB- peaceful purpose , '' he warned . The negotiations ' starting point is that Iran would like to have the bomb and the international community wants to delay that as much as possible -- and preferably , forever . The world only learned about Iran 's secret facilities at Arak and Natanz after dissidents raised the alarm . Iran , we have learned repeatedly , is very good at lying to international inspectors . It is well-established that it has had something to hide about its nuclear program . It is well-established that many of Iran 's neighbors do n't trust it and are anxious about the U.S.-led international dealings with Iran . It is well-established that Iran has engaged in international terrorism and in destabilizing the region . It is also clear that it took harsh international sanctions and a collapse in oil prices to bring Iran to the negotiating table . It was Iran that had the most to lose from a failure of talks . But political considerations turned the United States into the supplicant . The framework agreement starts lifting those indispensable sanctions much too soon . Nuclear enrichment will continue , although at a lower level . Iran officially , legally , becomes a nuclear threshold state , with the capability to make the final dash to a bomb within a `` breakout '' period of one year , the time when presumably inspectors would discover violation and allow the rest of the world to act . Even the Fordow facility , conveniently inside a fortified bunker in a mountain , will remain in existence , though `` converted '' to a nuclear `` research facility '' And without nuclear material on site . International sanctions lifting will begin almost immediately . Its nuclear infrastructure will remain largely in place , even if operating at a reduced pace , giving Iran much of what it wanted . With Iranian forces gaining ground in Arab lands and Iranian commanders declaring the destruction of Israel `` nonnegotiable '' and threatening Saudi Arabia , this deal does not look reassuring . Obama is right that a diplomatic solution is the most desirable option . But the deal so far looks like -LRB- another -RRB- win for Iran . It introduces enough restrictions that it could give the President the political cover he wants , but it does not do enough to make the world safe from nuclear proliferation and more potentially catastrophic instability in the Middle East ."								
gold	"Frida Ghitis : President Barack Obama is right to want a deal , but this one gives Iran too much . She says the framework agreement starts lifting Iran sanctions much too soon ."								
generated	ghitis: iran's muslim rivals are not to blame iran's leaders for president.								very bad
									
article	"-LRB- CNN -RRB- `` Jake the dog and Finn the human . The fun will never end . Adventure Time . '' So begins the dreamy theme song intro to the strangely addictive Cartoon Network TV show that 's centered around psychedelic characters like the Ice King , Marceline the Vampire Queen and , of course , Jake and Finn . Now , mega-fans of the hit show can experience `` Adventure Time '' in the skies . Thai Smile , a subsidiary of Thailand flag carrier Thai Airways , on Thursday unveiled colorful new livery featuring Jake , Finn and the beloved Princess Bubblegum sprawled across an Airbus A320 at Bangkok 's Suvarnabhumi International Airport . The interior of the plane also has an Adventure Time theme , with overhead bins , head rests and even air sickness bags covered in the faces of characters from the show . Airlines show off their new flying colors . The Adventure Time plane is the result of a partnership between Thai Airways subsidiary Thai Smile and Cartoon Network Amazone , a new water park near the Thai resort city of Pattaya featuring attractions based on shows that appear on the Turner Broadcasting System channel . Turner Broadcasting is a parent company of CNN . Check out these cool airline liveries . The inaugural Thai Smile Adventure Time flight takes place on April 4 , heading from Bangkok to Phuket ."								
gold	"Thai Airways subsidiary Thai Smile features Cartoon Network paint job on A320 jet . Overhead bins , head rests and air sick bags feature characters from Cartoon Network ."								
generated	mega-fans of the plane is part of an thai smile.				mega-fans of the plane				
									
