																		
Source	40209805	"south thanet's mp craig mackinlay held his seat while facing a charge over election expenses in the 2015 poll. mr mackinlay has insisted he has done nothing wrong. however, the party suffered a shock in canterbury where sir julian brazier lost his seat after 30 years to labour's rosie duffield. latest general election updates from across the south east full coverage of general election 2017 full england results breakdown find the result where you live in ashford, damian green mp held the seat and the tory member also grew his share of the vote. tracey crouch held chatham & aylesford, and gareth johnson held dartford for the conservatives. the leader of medway council's labour group, and labour candidate in chatham and aylesford councillor vince maple said : ` ` here in medway, across all our three constituencies, we've seen big increases in our vote. ` ` we've seen people very disappointed with theresa may who have voted conservative for perhaps 30 years, and they maybe haven't voted for us, but they certainly haven't voted for the conservative party.'' dover was listed as a labour target, but charlie elphicke held it with an increased majority of 6, 437. both labour and the conservatives increased their shares of the vote by just over 9 %. mr elphicke said ; ` ` it's brilliant we have increased our majority - lsb - in dover - rsb -. i'm looking forward to getting more investment and to make our corner of kent even more successful.'' folkestone & hythe, a safe conservative seat, was held by damian collins, who has also increased his majority. rehman chishti also held gillingham & rainham for the conservatives. paul clarke, the former labour mp for the constituency said : ` ` there's clearly something to build on and we could be having another general election in much less than the five - year period.'' in gravesham, conservative adam holloway held the seat, helen whately held faversham & mid kent, and tory helen grant retained control of maidstone & the weald. north thanet was held by roger gale with an increased majority. he said the election had been fought under ` ` very trying circumstances''. ` ` i"																
Gold		"the conservatives have held nearly all constituencies in kent, where sitting mps including cabinet member greg clark have kept their seats."																
Generated		the conservatives have held on to power in the south east of england despite a shock in canterbury where sir julian brazier lost his seat after 30 years.																
																		
Source	35397682	mr ghani said is was ` ` not an afghan phenomenon'' and its atrocities had ` ` alienated the people''.																
Gold		"afghan president ashraf ghani has promised to ` ` bury'' the so - called islamic state - lrb - is - rrb - militant group, whose local offshoot has clashed with government forces and taliban fighters, in an exclusive interview."																
Generated		"the afghan prime minister, ashraf ghani, has accused the taliban of being ` ` a terrorist organisation'' in an interview with the bbc's persian service."								[really bad overall]								
																		
Source	36349823	"the zero - fuel aircraft arrived in dayton at 21 : 56 local time - lrb - 01 : 56 gmt - rrb - having flown from tulsa, oklahoma. the 1, 113 km journey took pilot andre borschberg about 16 hours to complete, a relatively short hop for the plane. solar impulse is aiming to get to new york in the next couple of weeks before it crosses the atlantic - the last big leg in its global endeavour. to complete the circumnavigation, the aeroplane needs to get to abu dhabi in the united arab emirates where the journey started in march last year. as well as setting new aviation milestones, the stated purpose of the project is to demonstrate the capability of clean technologies. the plane gets all its energy from the sun, captured by 17, 000 photovoltaic cells on its top surfaces. these power the craft's propellers during the day but also charge batteries that the vehicle's motors can then call on during the night. the craft is wider than a 747 jumbo jet but weighs just 2. 3 tonnes. low flight speed means mission legs can take several days and nights of continuous flight. the pilot is permitted only catnaps of up to 20 minutes, and the cockpit is little bigger than a public telephone box. leg 1 : 9 march. abu dhabi - lrb - uae - rrb - to muscat - lrb - oman - rrb - - 772 km ; 13 hours 1 minute leg 2 : 10 march. muscat - lrb - oman - rrb - to ahmedabad - lrb - india - rrb - - 1, 593 km ; 15 hours 20 minutes leg 3 : 18 march. ahmedabad - lrb - india - rrb - to varanasi - lrb - india - rrb - - 1, 170 km ; 13 hours 15 minutes leg 4 : 18 march. varanasi - lrb - india - rrb - to mandalay - lrb - myanmar - rrb - - 1, 536 km ; 13 hours 29 minutes leg 5 : 29 march. mandalay - lrb - myanmar - rrb - to chongqing - lrb - china - rrb - - 1, 636 km ; 20 hours 29 minutes leg 6 : 21 april. chongqing - lrb - china - rrb"																
Gold		solar impulse has landed in the us state of ohio following the 12th stage of its circumnavigation of the globe.																
Generated		the solar impulse aeroplane - the world's first zero - fuel aircraft - has arrived in dayton dayton in the morning after completing the first leg of its circumnavigation of the globe.		the first leg					dayton dayton									
																		
Source	29966879	"the # 21m road, which will link the west and east of the town, was supposed to be finished by march. however, last winter's heavy rain meant contractors could not start building a bridge over the river tone and the bridgwater and taunton canal. richard needs, from somerset county council, said it had also encountered other challenges during the project. he said work to lift an existing bridge over station road had to be delayed as workers had found the ground conditions softer than expected. ` ` it's not a question of moving the bridge, it's working out what are the best foundations for the new bridge to be,'' mr needs said. ` ` as with all construction projects there are very difficult times and there are happy times... it changes from day - to - day but overall we're making good progress and we're getting there eventually.'' the one - mile - long - lrb - 1. 6 km - rrb - road is designed to divert traffic around the north of the town and will run from priory bridge road, over the river and canal, alongside the railway to staplegrove road. it is hoped the new road will divert traffic away from the town centre and priorswood road and help with the regeneration of the firepool area."																
Gold		the completion date for a new road in taunton has been delayed.																
Generated		"work to build a new road in taunton has been delayed by a year because of bad weather, a council has said."																
																		
Source	29264151	"it is thought to be related to possible cases of personation, where people pretend to be someone else and cast a vote, then the real person turns up. the 10 suspect votes were cast at a variety of different polling stations across the city. glasgow city council said police had been called earlier on thursday. each ballot paper has an individual number attached to it, so officials will now have to sort through the ballots and attempt to find these 10 papers. they will then be removed, and kept separately from the more than 486, 000 ballot papers being counted in glasgow. colin edgar, head of communication at glasgow city council, said the search for the ten ballot papers ` ` will not delay the count''. police scotland said any crime committed would be appropriately investigated. a spokesman added : ` ` police scotland takes the safety and security of the independence referendum extremely seriously and is working with partner agencies including local authorities to ensure the integrity of the ballot.''"																
Gold		officials at the referendum count in glasgow have said they are investigating 10 cases of suspected electoral fraud at polling stations.																
Generated		police have been called to glasgow to search for 10 ballot papers believed to have been cast at polling stations in the scottish independence referendum.						fraudulent [missing]										
																		
Source	22197108	"the move was agreed at a regional summit in chad, whose president described car as a ` ` wound in the heart of central africa''. ` ` armed bands loot, hold to ransom and racketeer the population,'' he said. the former rebels had asked both their neighbours and former colonial power france to increase their forces. the current 500 - strong multinational peacekeeping force fomac was ` ` insufficient to do the job'', mr deby said earlier, reports the afp news agency. he said the reinforcements would help restructure the security forces. south africa, which lost at least 13 troops during the rebel takeover, has said it is pulling its forces out of car. south africa's president jacob zuma attended the summit, along with central african leaders and a delegation from the car's new leaders. the summit of the economic community of central african states - lrb - eccas - rrb - accepted former rebel head michel djotodia as the country's leader but that he should not be called president, reuters news agency reports. ` ` mr djotodia will not be called president of the republic, but head of state of the transition,'' it quotes president deby as saying. mr djotodia was declared interim president last week and says he will hold elections within 18 months. earlier, the un children's agency warned that increasing numbers of children are being wounded in the conflict. unicef's emergency co - ordinator in bangui, robert mccarthy, told the bbc's focus on africa programme that all armed groups should ensure that children were protected. ` ` we're calling for : number one, the protection of children by all parties - by everyone with a gun, everyone in command of soldiers, we have to protect the children, equally women, vulnerable populations. ` ` equally, we need security to resume the most basic of life - saving interventions for the aid providers in the city and especially in the countryside.'' the seleka rebels, an alliance of armed groups, seized power after a peace deal negotiated with ousted president francois bozize collapsed. mr djotodia is a former civil servant who fell out with mr bozize and went into exile, before returning under the peace deal in january as defence minister. he resigned in march before seizing power. correspondents say he does not"																
Gold		"the central african republic's neighbours have agreed to send an extra 2, 000 troops to help restore security following last month's rebel takeover."																
Generated		"central african republic ( car) leaders have agreed to send 1,000 more troops to the country to help quell the conflict in bangui, the capital of seleka rebels who seized power last month."					bangui											
																		
Source	33987635	"ricci gallagher, 46, died in hospital a week after being injured at the farmhouse in little burstead, essex. it is owned by richard glanville, the ex - chief financial officer of a fashion firm that owned oasis and warehouse. mr glanville and another man have been questioned on suspicion of attempted murder. both have been bailed. the victim's wife, linda, said they had been excited about building their new home in the village, which they had moved into a week before. ` ` ricci was a very kind, considerate person with a great zest for life and was liked by all who met him,'' she said. ` ` he was easy - going and good fun. ` ` ricci and i had a very happy marriage and were excited about the new phase in our lives with the move to little burstead.'' mr gallagher had reported a fire at his home about half a mile away in blind lane, minutes before police were called to the farmhouse on sudburys farm road on 30 july. police said they were linking the incidents and were investigating why mr gallagher had been at the farmhouse. it is understood one line of inquiry is mr glanville may have found mr gallagher inside the house. ` ` the tragic events that have unfolded from the day of the fire at our home... have left me and my family devastated,'' said mrs gallagher. ` ` i would ask for anyone who can help the police to do so... and finally ask that we now be left to come to terms with this terrible tragedy and grieve in private.'' officers are particularly keen to trace the drivers of a lorry and a vauxhall car seen between 09 : 00 and 09 : 30 bst on 30 july."																
Gold		the widow of a man who died after being found injured at an ex - fashion executive's home has said they had been ` ` excited'' about their move to the area.																
Generated		the wife of a man who died after a fire at his home has spoken of her devastation at his death at a farmhouse owned by a former fashion executive.																
																		
Source	40651185	"nofa mihlo rafo arrived in canada this year as a refugee with four of her six children. she was separated from her husband and two eldest sons after their town was captured by the so - called islamic state in 2014. she learned this week that one missing son is still alive after a relative alerted her to a photo posted online. ms mihlo rafo learned last sunday that 12 - year - old emad mishko tamo was alive and had been rescued. she ` ` was jumping, crying at the same time, just happiness'', said hadji hesso, with the yazidi association of manitoba. his group, in partnership with the kurdish initiative for refugees, winnipeg friends of israel and the liberation of christian and yazidi children of iraq - lrb - cyci - rrb -, has launched a campaign to reunite the boy with his family. on thursday, canada's federal immigration department said it is aware of the boy's case and noted that the government has committed to bringing up to 1, 200 vulnerable yazidi women and children and other survivors of is to canada. ` ` all yazidi cases are being expedited,'' said a department spokeswoman in an email. steven maman, the founder of cyci, says that all 338 canadian members of parliament were sent information about the boy. ` ` everyone has received an email from us with emad's story, his mother's identification cards, everything,'' mr maman said. ` ` it's a moral obligation for us human beings to help her.'' there is also a special programme that allows refugees to apply to bring in dependent children within a year of arrival. iraqi troops who found the boy posted his image online in hope of finding his family, said mr hesso. the boy's uncle saw the photo, contacted emad's mother, and met the boy at the hospital where he was being treated for shrapnel and gunshot wounds. mr hesso says the boy is recovering and now with his uncle in a camp in iraq. ms mihlo rafo and her children are all members of the persecuted religious yazidi minority. they were rounded up by is jihadists in their town of sinjar in northern iraq and held captive for two years. she eventually managed to escape to a refugee camp with"																
Gold		canada says it is aware of the case of a yazidi boy recently rescued by iraqi forces whose mother is in winnipeg.																
Generated		a group of canadian yazidi refugees has launched a campaign to reunite a 12-year-old boy with his family after he was rescued from an iraqi prison and taken to a refugee camp.																
																		
Source	34978899	"charlie hodgson converted samuela vunisa's try and added two penalties to give sarries a 13 - 3 lead at half - time, with tom catterick replying. hodgson then kicked two penalties after the break either side of nick tompkins'score from close range. fly - half hodgson added a breakaway try late on before billy vunipola's score in added time sealed a bonus point. saracens remained the only unbeaten team in europe this season and recorded their 13th consecutive victory over newcastle falcons in all competitions. with new england head coach eddie jones in the crowd at kingston park, the north london side had to wait to be sure of victory as a kicking battle in the first half made for a scrappy game. newcastle, still without a league win this season, put pressure on saracens'defence in the second half, but despite going through the phases they could not trouble the visitors'line. it was from a falcons attack that former england international hodgson, who will retire at the end of this season, got the third try of the afternoon on 78 minutes after intercepting a loose pass and racing clear. with the home side attempting to get on the scoreboard themselves in added time, a turnover and breakaway from ben ransom eventually allowed vunipola to add saracens'fourth score of the afternoon in the fourth minute of added time. newcastle director or rugby dean richards : ` ` i've not spoken to eddie jones, but i would have thought a lot of our guys should be in with a shout for england in the future, especially our hooker george mcguigan. ` ` it was 13 - 3 at half - time after we gifted them a try and, when it was 23 - 3, we started to push, made mistakes and conceded those two late tries. ` ` we started to chase the game and that fell right into their hands. ` ` they have a huge kicking game and they are very accurate in what they do. it enables them to sit back and wait and in the end their accuracy was far greater than ours.'' saracens director of rugby mark mccall : ` ` it wasn't the most attractive of games. ` ` newcastle came with a kicking plan and i was pleased with the patience and energy we showed. ` ` we stayed with it until"																
Gold		saracens returned to the top of the premiership table after securing a late bonus point in their win at newcastle.																
Generated		saracens recorded their 13th consecutive victory over newcastle falcons in all competitions as they ran in four tries in a bonus point win at kingston park on saturday.																
																		
Source	38105023	"bribes of between $ 1, 000 - $ 5, 000 - lrb - # 800 ; # 4, 000 - rrb - have been paid, gen nur farah jimale said. the bbc has also learned that some candidates have been offering bribes of up to $ 1. 3 m - lrb - # 1m - rrb - to secure votes. indirect elections have been taking place since october as the country remains too unsafe for a national vote. much of the country is still under the control of islamist militant group al - shabab, which is affiliated to al - qaeda. gen nur told the bbc somali service that some seats should be re - run because money had been used to ` ` out - manoeuvre'' other candidates, in some cases, meaning all but one candidate had withdrawn. cases of government resources being used in the election have also been documented, he said. the elections are being funded by the united nations which also supports the government based in the capital, mogadishu. somalia has not had a functional national government since the ousting of its former leader mohamed siad barre in 1991."																
Gold		"massive cases of corruption and voter intimidation have marred the ongoing parliamentary elections in somalia, the auditor general has told the bbc."																
Generated		"somalia's elections for parliament have been marred by allegations that some candidates have been paying bribes to secure votes, the chief electoral officer for the country has told the bbc."	chief electoral officer															
																		
Source	32493499	"cardiff civic society has asked planning minster carl sargeant to ` ` call in'' a planning application for part of the cardiff central square development. cardiff councillors are due to vote on the plans on wednesday. the welsh government said it had yet to make a decision. cardiff planners have recommended the plans go ahead, saying concerns have been addressed. bbc wales plans to take the tenancy of the planned new media centre building in central square - where the current bus station is situated - from developers rightacres property ltd. rightacres is also applying to demolish the nearby ageing marland house office and retail building, build basement car parks and landscape the square. a council report to the committee said the application seeks to ` ` demonstrate that the development does not compromise the delivery of a new bus station on the marland house / ncp car park site, and that the environmental impact of relocating the bus station is acceptable''. however, the application does not include any plans for the permanent replacement of the bus station. in its letter to ministers, the civic society said the application failed to address the need for a transport hub close to the railway station and asked for the decision to be taken out of the hands of councillors. it claims the development will ` ` destroy the central bus station with no replacement provided for at least two and a half years''. paul mccarthy, chief executive of rightacres property, said although the current application did not include the transport plan, details of a new hub would be revealed in the near future. a cardiff council spokesperson said : ` ` any mention of the bus station in the current planning documentation for the demolition of marland house and the bbc headquarters is incidental and lacks significant detail, as it isn't part of this application.'' network rail has also raised concerns about the loss of current taxi parking and passenger pick - up and drop - off points, as a civic square could be built between the planned development and cardiff central rail station. in a statement to planners, it said : ` ` this proposed development will remove a key rail customer facility on the northern side of the rail station and will necessitate its relocation away from the station's main entrance.''"																
Gold		"permission for a new bbc wales headquarters in cardiff city centre should not be granted until plans for a new bus station are in place, a conservation group says."																
Generated		plans to demolish cardiff's central bus station and build a new bbc headquarters on the site have been criticised by a civic society.					demolish cardiff’s central bus station											
																		
Source	31744723	"the assembly rooms, which opened in 1977, was badly damaged in a huge blaze that broke out in its roof car park last march. the city council said rebuilding would be too expensive and the venue would be sold to a private company and could be knocked down and the site redeveloped. as well as live music, the assembly rooms also hosted british open snooker. perhaps its most famous musical moment was in 1983, when morrissey was hit in the eye with a flower during a smiths gig and fans invaded the stage at the end. the venue also hosted performances from acts such as the clash, paul weller and manic street preachers and was home to the city's pantomime each year. city council labour leader ranjit banwait said he hoped the venue would be replaced with ` ` some kind of cultural offer''. the opposition conservative group said the local authority had dithered over the plans. councillor robin wood said the venue could have been kept ` ` alive'' in the interim until a bidder was found. he said : ` ` for over a year now we have been wondering what on earth is going to happen. now we are told the wrecking ball is going to go at it. ` ` i think it would be much better to refurbish it and reopen it and look at other alternatives. what we will end up with is a pile of rubble and nothing.'' dave parry, of the derby civic society, said the venue was too big for the market place and never really achieved what it set out to do. ` ` we would like to see something that would be representative of the city,'' he said. ` ` i'm not sure that it is the right place for a cultural thing, but we also don't want to see a supermarket or block of flats there.''"																
Gold		the curtain is set to fall on a music venue in derby where a host of famous acts have thrilled fans for decades.																
Generated		the wrecking ball could be used to demolish one of nottingham's most famous music venues to make way for a supermarket or block of flats.	nottingham															
																		
Source	35147380	"at present some hospitals charge for wi - fi and others have no access at all. the move is a recommendation from a government - commissioned report on improving the use of online technology in the health service. the government has set no deadline for the plans but expects the nhs to be ` ` digital and paperless'' by 2020. money for the service is being provided from a a # 1bn technology fund. mr hunt said : ` ` everyone using the nhs expects it to be a world leader in digital healthcare and free wi - fi is an essential part of making that a reality. ` ` it will give patients and staff the ability to access the services they need as well as freeing up clinical time and reducing overall costs.'' in some hospitals paper charts have already been replaced by mobile clinical systems and tablets, allowing for data to be shared around the building. the department of health said greater use of e - prescribing could reduce medication errors by 50 %. it also believes the plans will encourage the use of technologies that could help alert doctors and nurses to medical problems and reduce paperwork and errors. patients could also wear monitors to alert medical staff to issues, such as diabetics who have experienced ` ` largely avoidable'' hypoglycemic episodes while in hospital. the department of health was unable to say what proportion of nhs facilities already provide free wi - fi."																
Gold		"free wi - fi is to be provided in all nhs buildings in a bid to improve services and reduce costs, health secretary jeremy hunt said."																
Generated		"hospitals in england will have free wi - fi by 2020, health secretary jeremy hunt has announced."																
																		
Source	36117424	"as republican national committee head reince priebus has pointed out, the rules are the rules, and they aren't a secret. but mr trump is right that there are forces coalescing to stop him. and as of sunday night - with the announcement that presidential candidates john kasich and ted cruz are co - ordinating their efforts in upcoming state primaries - those forces aren't so silent anymore. neither mr cruz nor mr kasich can win the 1, 237 delegates necessary to secure the republican nomination for themselves. their only hope is to deny donald trump that opportunity as well. and now, at last, their campaigns are publicly acknowledging that they need each other's help to do so. as the two campaigns explained in dual press releases, mr cruz will focus on indiana on 3 may, while mr kasich will be given free rein to challenge mr trump head - on in the oregon and new mexico contests over the following weeks. this announcement comes just days before mr cruz and mr kasich are likely to receive a thorough drubbing in a handful of states in the mid - atlantic, including delegate - rich pennsylvania. by wednesday morning mr trump could have put considerably more distance between himself and his two opponents. so this accord may be an early effort to push the focus past the next round of voting and on to more friendly contests. indiana, one of the last big prizes of the primary season, is shaping up to be a pivotal battleground. a recent poll shows mr trump with a comfortable lead in a three - way race that narrows considerably if mr kasich is taken out of the equation. given the rules in indiana - 30 delegates to the candidate who wins a statewide plurality and three delegates to the top finisher in each of the state's nine congressional districts - every bit of help mr cruz can get to edge past mr trump will be invaluable. independent groups backing the # nevertrump efforts are pouring resources into the state in the hopes that a massive advertising blitz will dent the new york mogul's image. it worked for them in wisconsin two weeks ago, although those efforts also benefited from a state republican party unified in opposing mr trump and a conservative media that had been relentlessly bashing him for months. the atmosphere in indiana is much"																
Gold		for the past few weeks donald trump has been railing against what he calls a ` ` rigged'' and ` ` crooked'' republican nomination process and silent efforts to deny him the party's presidential bid.																
Generated		donald trump has been saying for months now that he will not accept the republican nomination for the republican presidential nomination.								[really bad overall]								
																		
Source	37329266	"the conservationists have described it as a major milestone, there are thought to be about 70, 000 coins in the hoard. by the end of the day on friday the team had removed 55, 014 coins, 63 more than the previous largest roman cunetio hoard found in wiltshire. the team are clearing the coins in view of the public in a special laboratory at la hougue bie museum in grouville. the jersey heritage team has spent two years removing the coins one by one from the hoard discovered by two metal detector enthusiasts in 2012. the value of the hoard will not be known until next year when the states will have to decide whether to pay to keep it in the island."																
Gold		the team removing coins from the jersey celtic hoard have gathered more than in any other british hoard to date.																
Generated		the jersey heritage team have removed a record number of coins from the largest roman cunetio hoard ever found in the island.																
																		
Source	33195768	"` ` we will absolutely want him to have the death penalty,'' nikki haley told nbc television. suspect dylann roof, 21, is due to make his first court appearance on friday. he was arrested on thursday more than 200 miles away in north carolina and flown back to south carolina. police are treating the killings at the emanuel ame church on wednesday evening as a hate crime. prayer vigils have been held in churches in charleston and across the us for the six women and three men who died. at the vigil for victim sharonda singleton, her teenage children told the bbc they had forgiven her killer and wanted to focus on moving on in a positive way. ` ` we already forgive him for what he's done,'' said her son, chris. ` ` and there's nothing but love from our side of the family. love is stronger than hate.'' churches in charleston were full to overflowing on thursday evening as prayer services were held. some services were held outdoors. hundreds gathered outside the emanuel ame church to pay tribute. governor haley told nbc's today show that south carolina had been ` ` hurt'' by the deaths of nine innocent people. she said she wanted the suspect tried on state charges in south carolina rather than federal charges. mr roof is due to appear in court via video link for a bail hearing on friday. he is being held at a detention centre in the charleston area, the county sheriff's office said. he was detained on thursday after police acting on a tip - off stopped his car in shelby, north carolina. police had earlier released cctv images of the suspect and the dark saloon car he had driven away in. mr roof's social media presence suggests he was interested in white supremacy. his facebook profile page shows a picture of him wearing a jacket with flag - patches from apartheid - era south africa and rhodesia - the name of zimbabwe during the era of white minority rule. he also had a confederate flag plate on his car. dalton tyler, who said he was a friend of mr roof, told abc news the suspect had spoken in support of racial segregation and had said ` ` he wanted to start a civil war''. it emerged on thursday that the gunman had sat in a bible study group at the church for nearly an hour"																
Gold		"the man suspected of shooting dead nine people at an african - american church in charleston should face the death penalty if convicted, south carolina's governor has said."																
Generated		"the governor of south carolina has said she wants the suspect in the killing of nine people at a church in charleston, south carolina, to have the death penalty if he is charged with the killings."																
																		
Source	13681053	"` ` i tried to run away but my mother said she would kill herself if i did not marry him.'' ` ` i was not mature physically or emotionally so it was not easy for me to go and sleep with my husband.'' she had never met her bridegroom, 18 - year - old gedefaw mengistu, before their wedding day. ` ` i knew she was too young. i was in grade five but my father died and i was forced to stop school, get married and keep the family going,'' mr gedefaw told the bbc. the couple live in ethiopia's amhara region - an impoverished rural farming area where half of all girls are married before they turn 15. ` ` it's quite shattering to have met people who were married off,'' archbishop desmond tutu told the bbc on a visit to the area. ` ` in one case the husband was eight and the supposed wife was seven. i mean you want to say it's abominable,'' he said. the south african nobel peace prize winner may have recently announced his retirement from public life but he is out fighting injustice again as one of the elders - the group of eminent global leaders brought together by south africa's former president nelson mandela. ` ` i wasn't aware of the extent of the problem - and it is just fantastic that things are taking a turn for the better and incredibly so,'' he said. the archbishop was referring to the impact of government - led programmes in several dozen villages in the region which focus on delaying marriage. in this area, the lure of a bride price causes many families to push for early weddings. but there is another reason. ` ` fear of abduction is also a factor,'' said alemseged weldegerima from the ethiopian government's bureau of women, children and youth affairs. ` ` we will try to stop abduction, not by using the police, but by increasing the awareness of the people.'' beside a small eucalyptus plantation archbishop tutu was sharing a low wooden bench with two elders who have broken the mould ; the first woman to be president of ireland, mary robinson, and the former prime minister of norway, and ex - head of the world health organization"																
Gold		"` ` i wanted to get an education but my parents were determined to marry me off,'' says himanot yehewala, an ethiopian girl who was married five years ago at the age of 13."																
Generated		"the archbishop of addis ababa, archbishop desmond tutu, has spoken to the bbc about the plight of young girls in ethiopia who have been forced to marry off at the age of seven or eight."			of addis ababa													
																		
Source	21784867	"phandu skelemani made the apology after kenya's government accused him of being contemptuous towards uhuru kenyatta. the international criminal court has charged mr kenyatta with crimes against humanity. he denies the charges and won the 4 march poll with an outright majority. he got 50. 07 % of the vote compared to his rival raila odinga's 43. 31 %. mr odinga has refused to accept defeat, saying the election was marred by fraud and is expected to file a petition challenging the result at kenya's supreme court on friday. analysts say the icc case bolstered mr kenyatta's electoral chances, as voters saw it as interference in kenya's domestic affairs. he is due to stand trial in july, with the charges stemming from allegations that he helped orchestrate violence that erupted after the 2007 election. earlier this week, his lawyer, steven kay, called on the icc to drop the case, saying the evidence against him was ` ` utterly flawed''. mr kay made the call after icc chief prosecutor fatou bensouda dropped charges against mr kenyatta's co - accused, francis muthaura, because a key witness had ` ` recanted'' his evidence and other witnesses were too scared to testify. mr skelemani said he was retracting comments he made to botswana's privately owned mmegi newspaper following mr kenyatta's election victory. ` ` i apologise to the kenyan people for my earlier statement and wish to maintain that kenya and botswana have always worked together and nothing will change that,'' he said, in a statement published in the kenyan media. ` ` mr uhuru kenyatta is more than welcome to visit botswana. botswana is cognisant of a section of the law that says one is innocent until proven guilty.'' earlier this week, mr skelemani was quoted by mmegi as saying that mr kenyatta would not be allowed to ` ` set foot'' in botswana if he refused to cooperate with the icc. ` ` if he refuses to go - lsb - to the hague - rsb -, then we have a problem. that means that they do not know the rule of law,'' he is quoted as saying. ` ` you can't"																
Gold		botswana's foreign minister has apologised for saying that kenya's newly elected president would be banned from the southern african nation if he refuses to co - operate with the icc.																
Generated		"mr uhuru kenyatta, the winner of the 4 march election in kenya, has apologised to botswana for comments he made in a privately owned newspaper saying that botswana would not allow him to visit the country if he refused to cooperate with the international criminal court ("					kenyatta apologised											
																		
Source	27152271	"rangers confirmed that jardine had lost an 18 - month battle against cancer on thursday evening. he was part of their european cup winners'cup - winning team of 1972 and played 38 times for his country. he was respected not only by rangers fans but also the wider football community ibrox manager ally mccoist said everyone at rangers was devastated at the loss of ` ` a legend'' and ` ` a great man''. and the club said their thoughts were with his wife shona, children steven and nicola, his grandchildren and friends. hearts also extended their condolences to his family, with the tynecastle club adding they were deeply saddened at the death of a club legend. media playback is not supported on this device edinburgh - born jardine began his career with rangers in 1965 and went on to make over 600 appearances for the ibrox side. as well as playing in the club's european triumph in 1972, the full - back won three top - flight titles, five scottish cups and five scottish league cups with rangers. a move to hearts followed in 1982 and, along with former rangers team - mate alex macdonald, he was joint - manager at tynecastle between 1986 and 1988. under their command, the edinburgh club lost out on the scottish title on the final day of the 1985 - 86 season, celtic taking advantage of hearts'defeat at dundee to pip them to the crown. jardine's on - field contribution that term was such, though, that he was named scotland's player of the year for the second time at the age of 37. the honour came 11 years after he first won the award. after his playing career ended, he returned to work for rangers in various roles. in november 2012, it was confirmed jardine was being treated for cancer. ` ` he was respected not only by rangers fans but also the wider football community and he is a huge loss to the game,'' mccoist said on rangers'website. ` ` i had the privilege of watching sandy playing for rangers when i was a young boy, i had enjoyed the pleasure of working with him closely since i returned to the club in 2007 and he was a truly remarkable human being. ` ` his achievements both on and off the pitch are second to none and i was honoured to regard him as a friend. `"																
Gold		"former rangers, hearts and scotland defender sandy jardine has died at the age of 65."																
Generated		"former rangers, hearts and ibrox defender sandy jardine has died at the age of 67."			of 65													
																		
Source	31919365	"emergency services were called to the line near stanford - le - hope, essex, at about 21 : 30 gmt on monday. a tow truck had to be called to remove the car, which was stuck on the track. no one was trapped or badly hurt. the 18 - year - old driver was arrested at the scene on suspicion of theft of a motor vehicle, driving without insurance and careless driving. train operator c2c apologised for delays to passengers. it said services were disrupted for about three hours while the car was removed and network rail engineers examined the track and repaired the fence."																
Gold		"a motorist crashed through a fence and onto a train track, causing several hours of delays for passengers."																
Generated		a stolen car had to be removed from the track after it became wedged between a railway line and a fence.		wedged between railway line and fence	wedged													
																		
Source	36951809	"the first group stages of the women's tournament take place on wednesday - so - called day - 2 - with sweden facing south africa, while the men's group stages start on thursday, when iraq play denmark - lrb - both 17 : 00 bst - rrb -. here's all you need to know. it's simply for scheduling reasons, as it was at london 2012. with 16 men's and 12 women's teams, there are 58 matches to get through. there is football being played on 12 days of the tournament, with six rest days. men's groups women's groups barcelona forward neymar will captain a brazil squad aiming to win its first olympic gold medal. the hosts also have lazio midfielder felipe anderson in their squad along with neymar's barca team - mate rafinha and paris saint - germain defender marquinhos. meanwhile, tottenham forward son heung - min will represent south korea and chelsea's john mikel obi brings experience for nigeria. five - time women's world player of the year marta competes in her fourth olympics for brazil, while her 38 - year - old team - mate formiga is going to her sixth games and is looking to continue her streak of appearing at every women's olympic football tournament. the reigning world and olympic champions usa have seven gold medal winners in their line - up. among them is goalkeeper hope solo, who could win a record fourth olympic title at rio, and current world player of the year carli lloyd. team gb fielded men's and women's teams at london 2012, with both sides knocked out at the quarter - final stage. the english football association had hoped to have both teams in rio, but they failed to gain support from the other home nations and fifa was not willing to accept a great britain team without players from every one of the home nations. qualification is also based on tournament results and while england's women would have earned their place by finishing third at last year's world cup, the men's failure to get past the group stage of the european under - 21 championships would have denied them. team gb qualification is based on england's results because the english fa is the national governing body on the boa."																
Gold		rio 2016 officially gets under way with the opening ceremony on friday - but did you know football kicks off the action two days earlier?																
Generated		the rio 2016 olympic football tournament gets under way this week with the men's and women's groups kicking off on wednesday - so - called day - 1.	day - 1		day - 1													
																		
